Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-01:00,27.6,16.81,79.022,1328.36,341.327,351.05,329.067,1.549,537.201,6.076,16.543,43.954,60.012,330.823,304.879,163.202,665.975,1297.317,241.182,46.603,251.406,29.11
31-03:00,23.6,16.478,81.011,1334.877,213.527,350.938,331.142,1.604,623.362,6.054,16.562,45.592,68.496,328.875,302.254,181.487,767.853,1324.461,239.478,54.846,250.312,29.02
1-08:00,14.23,15.35,85.518,1171.604,198.538,344.014,325.195,1.436,628.245,6.02,18.55,46.201,65.225,322.103,298.517,165.814,826.243,907.641,595.875,52.807,249.58,30.34
31-06:00,22.65,14.1,91.887,1307.852,288.989,352.321,331.162,1.468,625.549,6.143,16.62,45.797,71.298,329.662,301.539,179.886,837.178,1315.111,234.047,53.805,249.971,29.22
31-08:00,24.7,13.85,96.208,1334.892,362.511,352.372,327.358,1.515,553.172,6.199,16.625,45.541,64.249,332.264,305.419,166.12,909.81,1318.725,180.375,48.842,251.121,29.21
31-10:00,24.4,14.117,85.998,1330.104,394.234,348.089,319.027,1.429,540.558,6.209,16.661,45.258,62.179,329.831,302.652,163.258,827.107,1312.372,132.163,49.446,251.406,29.292
31-12:00,27.2,16.083,82.839,1332.331,366.855,350.094,327.439,1.486,527.893,6.19,16.669,44.541,60.271,330.023,302.883,160.562,771.158,1299.974,153.647,47.175,251.767,30.18
31-14:00,25.4,16.425,72.924,1197.775,118.821,350.765,329.799,1.635,585.011,6.197,16.794,45.547,65.474,329.773,302.884,175.646,756.154,1300.037,401.418,54.628,251.009,30.41
31-17:00,17.8,14.0,92.772,1204.489,61.783,353.562,330.481,1.532,623.209,6.2,16.824,45.441,67.845,331.632,304.889,182.998,909.81,1295.843,415.118,52.502,252.733,30.77
31-19:00,20.3,12.058,89.523,1180.205,300.596,348.649,318.905,1.548,577.128,6.09,16.822,45.793,66.904,329.492,306.086,173.064,731.689,1291.897,291.689,47.304,252.438,29.46
31-21:00,23.0,14.067,88.383,1191.691,374.687,346.269,318.589,1.542,515.431,6.095,16.822,46.088,62.306,328.7,304.135,154.291,748.067,1292.154,294.32,40.427,252.733,29.2
